a,b,weight
315180,315250,20
431180,431280,20
314110,314930,20
317010,350820,20
351380,355220,20
420540,530010,20
330045,330455,20
420910,421580,20
411150,411370,20
353030,354980,20
311830,314590,19
310670,314590,19
160030,160060,19
311830,315780,19
211130,211220,19
311940,313130,19
310620,355030,19
240120,240220,19
260290,260790,19
520030,520870,19
500720,500790,19
250750,250890,19
130260,130406,19
410345,412680,19
420985,421750,19
330455,354850,19
330455,351350,19
270430,270930,19
430510,430790,19
261160,330455,19
420390,420900,19
411885,412810,19
150140,530010,19
354340,355030,19
350775,351190,19
130260,330455,19
351880,354870,19
351820,352740,19
354340,355150,19
350950,354390,19
350950,352730,19
353060,354870,18
353870,355170,18
350010,352740,18
520870,521150,18
410370,411370,18
352570,355535,18
312770,316870,18
130260,140010,18
260720,260960,18
313670,316990,18
317020,530010,18
410465,410490,18
150140,150240,18
351907,352590,18
352690,353870,18
410580,412550,18
510340,520870,18
353870,354390,18
330190,330330,18
110012,110020,18
150553,355030,18
330025,330330,18
260400,261160,18
411520,412810,18
350280,350650,18
420460,420540,18
352930,353070,18
351380,352940,18
220770,221100,18
350410,352590,18
430700,431410,18
350600,353470,18
352470,355030,18
350280,355630,18
350600,354340,18
350320,351860,18
430310,430920,18
352220,355030,17
352730,355670,17
352340,355670,17
330070,330330,17
110002,110020,17
350570,353440,17
420230,421660,17
330010,330630,17
411180,411370,17
410640,411370,17
330270,330330,17
292740,330455,17
420240,420750,17
280610,330455,17
410690,431490,17
320500,330455,17
260170,260600,17
351210,353390,17
313670,316250,17
311340,312770,17
420420,420540,17
411520,412580,17
330390,330455,17
311830,311860,17
313170,313620,17
420240,420910,17
312770,316860,17
240120,240420,17
350160,354580,17
354520,355220,16
311860,317120,16
420200,420240,16
420420,421720,16
430060,431490,16
500660,500720,16
431340,431990,16
353140,353960,16
352680,353670,16
420240,421480,16
110020,150140,16
313670,314390,16
310670,316720,16
310260,315180,16
313670,330600,16
310400,317020,16
431490,432300,16
351350,354870,16
430460,430770,16
510267,510340,16
520510,520870,16
510340,510790,16
410690,420820,16
353950,355170,16
352500,355030,16
350210,353320,16
330455,421620,16
354030,355340,16
411370,412710,16
352460,354260,16
520140,522140,16
350370,353570,16
350600,350950,16
350530,351410,15
230440,355030,15
230440,230640,15
313240,355030,15
352390,355030,15
420240,421820,15
230440,230770,15
420580,420910,15
260680,261160,15
150553,320530,15
260720,260790,15
353080,355620,15
352930,354340,15
210030,211160,15
310670,313670,15
312230,313380,15
230420,230730,15
420460,420700,15
150140,150220,15
311860,314590,15
430770,431490,15
350330,352670,15
420420,421950,15
170950,172100,15
313670,317130,15
431490,431840,15
410480,410940,15
411520,412625,15
291072,291560,15
352250,355030,15
250860,251370,15
412230,421480,15
291360,292740,15
352570,353100,15
420140,420460,15
430470,431410,15
351570,355250,15
410550,411370,15
280030,280350,15
354340,354940,15
351518,353080,15
351820,355630,15
330350,330630,15
351550,355710,15
310560,313670,15
330370,330600,15
420590,420820,15
350600,354980,14
351820,353600,14
430770,430920,14
220800,221100,14
420460,421900,14
350440,350775,14
261160,292740,14
350840,352390,14
430460,432000,14
270430,270670,14
291005,292740,14
310670,317120,14
291480,292740,14
270230,270430,14
310670,313170,14
150140,150150,14
352930,353390,14
171820,172100,14
521523,530010,14
270430,270860,14
430510,430820,14
350600,350750,14
420540,420830,14
352930,353400,14
310620,317120,14
354870,355220,14
430510,431490,14
431180,432040,14
410430,411520,14
260120,260410,14
410430,410940,14
310990,316720,14
353060,354880,14
240580,240810,14
315180,317070,14
353110,354850,14
352050,352390,14
353800,354990,14
353740,500830,14
330455,350950,14
130260,355030,14
320320,320530,14
500270,500330,14
510250,510770,14
330170,330320,14
352570,354160,14
353390,354980,14
350960,355650,14
313670,320530,14
352570,354980,14
420360,420390,14
350950,352340,14
313670,314080,14
351380,352590,14
351380,351880,14
353050,354340,14
311940,312770,14
352600,353640,14
350210,351100,14
312230,314520,14
520870,521880,13
270170,270430,13
431140,431340,13
261110,261160,13
150010,150140,13
280030,280740,13
352310,355030,13
352260,353070,13
260170,260410,13
431340,431405,13
351860,352430,13
260170,261160,13
250150,250750,13
230440,261160,13
260410,261540,13
351880,354680,13
240140,240220,13
431440,431490,13
351840,354990,13
210005,210530,13
354390,420910,13
430460,430930,13
420420,421690,13
313440,317020,13
314700,530010,13
420240,420590,13
420240,420290,13
315780,352500,13
316960,317020,13
351200,355190,13
430350,431440,13
320060,330455,13
130260,410690,13
320530,530010,13
351060,353440,13
330030,330630,13
351050,354990,13
410980,411370,13
410480,411580,13
353870,355030,13
350950,353340,13
355030,520870,13
353870,500830,13
330455,520870,13
353980,355030,13
150543,211130,13
350950,352390,13
350210,500600,13
350920,352590,13
350850,355030,13
350410,350950,13
350760,350950,13
150140,150442,13
320040,320530,13
311860,330455,13
311860,314930,13
420540,420910,13
310620,315670,13
310670,320530,13
310670,410690,13
352760,353070,13
311860,312980,13
311830,320530,13
312710,317010,13
520870,522045,12
220390,221100,12
420460,421760,12
330452,330455,12
330455,350570,12
350600,353670,12
353870,355240,12
420540,421800,12
352400,352590,12
352590,353080,12
351510,355030,12
210990,211130,12
350650,354140,12
310620,312770,12
270430,270730,12
350600,351670,12
230440,230523,12
520870,521190,12
350950,354340,12
291080,291840,12
350530,352530,12
310620,312090,12
280030,280290,12
352740,354140,12
421320,421820,12
350410,421320,12
520450,520870,12
312710,317020,12
330370,355030,12
410480,410840,12
431410,431750,12
351350,354100,12
312230,316470,12
351300,353440,12
314810,317020,12
351870,355100,12
315070,351210,12
312230,314710,12
420240,420540,12
500230,500790,12
260790,261070,12
312230,313820,12
352720,354990,12
310690,313670,12
412550,420910,12
320500,421620,12
310670,412550,12
430760,431340,12
411480,411520,12
411370,411840,12
353440,354870,12
420460,420940,12
410690,500270,12
350950,354910,12
330320,330455,12
352340,352590,12
312870,315180,12
261160,352220,12
350600,352680,12
110020,110110,12
150140,150810,12
140010,530010,12
130190,130260,12
150140,150550,12
130260,211130,12
150140,150420,12
171610,172100,12
352880,353550,11
430463,431490,11
352690,353070,11
312770,312800,11
352760,500830,11
330240,330452,11
310620,315120,11
330250,330330,11
280030,280450,11
280030,280210,11
315180,316370,11
431690,431830,11
350950,520110,11
353020,353640,11
430466,431440,11
431690,432240,11
315180,316930,11
312770,313620,11
410690,412820,11
172100,520870,11
430310,430460,11
330020,330330,11
410345,411275,11
520025,530010,11
220220,221100,11
310260,351518,11
510340,510795,11
353870,355220,11
430300,431690,11
510250,510340,11
510180,510340,11
150140,261160,11
350950,352260,11
313670,316070,11
313670,316290,11
350950,353080,11
220840,221100,11
410480,411560,11
353320,353740,11
410550,411520,11
500270,500660,11
310620,313510,11
240260,240810,11
420540,420820,11
431130,431410,11
330600,330630,11
412680,412810,11
420420,420900,11
350330,350950,11
431180,431410,11
330630,354870,11
420140,432260,11
420200,420820,11
260410,261640,11
330455,431490,11
431100,431440,11
150060,150140,11
311830,330455,11
430930,431490,11
311860,313170,11
351518,354910,11
351550,354980,11
260680,261070,11
350330,354390,11
314730,351518,11
270430,270770,11
411370,412810,11
320530,355030,11
240200,240810,11
352590,354870,11
330400,330630,11
420460,420730,11
310730,314330,11
411370,412410,11
350450,350600,11
411420,411520,11
352210,354850,11
230440,230550,11
420420,421930,11
351350,352210,11
311030,315180,11
150543,320530,11
261160,351880,11
431340,432000,11
260410,260790,11
354130,354140,11
351570,353060,11
354980,355340,11
350950,351280,11
354880,430920,11
250690,250750,11
355620,355670,11
310150,313670,11
292740,293330,11
320090,320530,11
350650,350775,11
354260,354850,11
350600,354140,11
250630,250750,11
354990,355220,11
320490,320530,11
211130,280610,11
354780,520510,11
354870,354990,11
421420,421690,11
211130,315780,11
350775,352570,11
291080,291480,11
250750,317020,11
420910,421660,11
350775,353730,11
431690,431740,10
430510,431340,10
250750,251620,10
110020,110030,10
230420,230440,10
310620,314930,10
280030,280480,10
230410,230440,10
354550,412000,10
312230,314790,10
160030,530010,10
120040,130260,10
315070,317010,10
312770,313170,10
230370,230765,10
350280,350775,10
352840,355220,10
431490,432160,10
270430,270630,10
230350,230440,10
354870,355400,10
312770,313940,10
330330,330430,10
240420,240810,10
430100,431140,10
351300,355220,10
431490,432150,10
250180,261160,10
411520,411690,10
350810,354805,10
352050,353180,10
330610,330630,10
350700,352390,10
291480,291800,10
351907,355220,10
314310,317020,10
150140,150170,10
313375,316720,10
351880,355250,10
260410,261530,10
420420,420430,10
420395,421870,10
355030,421660,10
317020,520870,10
521973,530010,10
311860,313190,10
351518,352340,10
352050,354520,10
431280,432040,10
420420,421970,10
260410,261000,10
355220,355400,10
280060,280610,10
150140,150613,10
350760,355030,10
230440,231130,10
411580,412570,10
411580,412635,10
260400,260410,10
314000,320040,10
352230,355220,10
330455,430310,10
260410,260640,10
354980,355370,10
311330,313670,10
411915,412550,10
312090,313630,10
352180,354580,10
280030,530010,10
130260,130420,10
354330,355030,10
353640,500230,10
240810,261160,10
410240,411180,10
320510,320530,10
420890,421740,10
410480,411850,10
310620,312160,10
500370,500540,10
250750,530010,10
353440,530010,10
430280,431690,10
353780,355220,10
353930,354070,10
500370,500660,10
310375,521150,10
291072,291480,10
510490,510770,10
350600,351960,10
420820,420910,10
500660,510623,10
420820,421750,10
350600,352710,10
310110,312770,10
240810,530010,10
354340,530010,10
353190,354340,10
354390,355030,10
410590,411520,10
350600,354640,10
410210,411520,9
420420,421750,9
313670,315580,9
410430,411370,9
260410,260960,9
110020,150812,9
355060,355220,9
354140,355500,9
250600,250750,9
353870,354580,9
352440,353060,9
350550,351200,9
411560,412635,9
352430,355170,9
230440,231180,9
290460,291480,9
330455,330580,9
310420,313720,9
410450,410480,9
520870,521930,9
210910,211130,9
260400,260950,9
316990,317200,9
352260,353080,9
352140,353870,9
510040,510704,9
210300,211130,9
353760,354850,9
420910,421500,9
312090,314330,9
290570,293070,9
411580,411605,9
211130,530010,9
313170,314700,9
350600,353880,9
210005,211130,9
355030,420540,9
351440,354140,9
431020,431410,9
420240,421130,9
350160,355240,9
311840,312770,9
260790,261420,9
351740,354980,9
311860,355670,9
350210,353740,9
350210,354140,9
310160,315250,9
350210,355630,9
230765,230770,9
260720,352940,9
320520,350850,9
170210,172100,9
313630,317020,9
355030,412230,9
420390,421930,9
420910,421250,9
211220,221100,9
230523,291640,9
260410,261090,9
110011,110020,9
314280,317020,9
410400,410690,9
431240,431870,9
250370,250750,9
110020,510340,9
351907,353180,9
310340,312770,9
311930,317020,9
260960,313170,9
351907,352050,9
315770,350820,9
431140,431180,9
354000,354200,9
291480,293135,9
314600,315180,9
317020,521880,9
350950,352670,9
420460,421770,9
330330,330580,9
352600,352740,9
353060,354990,9
350920,350950,9
500270,510340,9
313520,314330,9
270430,270690,9
420810,420910,9
355030,355645,9
351190,353600,9
240610,240810,9
420670,421930,9
313630,315340,9
210330,211130,9
270240,270430,9
330170,330580,9
420840,421720,9
230280,230440,9
431640,431690,9
410530,411580,9
353320,355630,9
310670,313130,9
352900,355030,9
350530,350600,9
292740,355030,9
170550,172100,9
320240,320530,9
211130,261110,9
250750,251530,9
291170,291480,9
420540,431490,9
351110,352885,9
110004,110020,9
350940,354340,9
330320,330510,9
330360,330630,9
230210,230440,9
353080,354910,9
292740,292920,9
313670,317200,9
520870,521380,9
520870,521460,9
350410,355030,9
310740,312230,9
350410,352340,9
520870,521570,9
431410,432080,9
431410,432010,9
230428,230765,9
350400,354140,9
351310,354340,9
312230,312610,9
311000,311860,9
110020,150553,9
312230,315150,9
431440,431880,9
500270,500570,9
352590,355240,9
350590,354340,9
313130,315780,9
310620,315180,9
352590,353070,9
411350,411520,9
500270,500500,9
410480,411460,9
310620,313380,9
240720,240810,8
150130,150140,8
350320,354890,8
430270,431490,8
350600,355010,8
350950,351040,8
421850,421930,8
350550,351210,8
350550,354980,8
420810,421500,8
312950,317020,8
420650,420910,8
351500,355280,8
420390,420670,8
351500,352220,8
312770,314470,8
430040,431690,8
350950,351640,8
250320,250460,8
240140,251370,8
313670,315490,8
150140,351380,8
250110,250750,8
420420,421290,8
313240,315960,8
150140,150360,8
313240,315180,8
430510,430910,8
430510,430860,8
430390,431340,8
420820,431490,8
430640,431340,8
430660,431440,8
350775,353100,8
430300,431490,8
420820,421660,8
313670,315210,8
150140,150180,8
250400,530010,8
313510,314330,8
420540,421480,8
430440,430510,8
260410,261250,8
313840,317200,8
421480,431680,8
430450,431440,8
350950,354980,8
313170,317120,8
230440,230960,8
430905,430920,8
431410,530010,8
310510,312230,8
410480,410720,8
330110,330340,8
410480,410880,8
221060,221100,8
410480,411370,8
410480,411790,8
150553,310670,8
410490,411940,8
500370,500720,8
330190,330490,8
353180,355240,8
330240,330340,8
350280,350330,8
500110,500270,8
310620,317010,8
431870,432000,8
310620,410690,8
431690,431710,8
315180,315960,8
270430,270940,8
330330,330550,8
330350,330414,8
431490,431750,8
352590,353650,8
310710,315180,8
310730,312090,8
330080,330330,8
315280,317020,8
410400,412550,8
291210,291480,8
291560,293135,8
291480,292530,8
291840,292740,8
320060,320530,8
210820,211130,8
291480,291560,8
354980,355600,8
520870,522010,8
520870,521850,8
355220,355450,8
291390,291480,8
354870,431440,8
211130,230440,8
410400,412080,8
520870,521000,8
354780,410690,8
291080,293050,8
316210,317020,8
520320,520640,8
354140,355030,8
354140,354770,8
220190,221100,8
354100,355030,8
354060,355220,8
330040,330420,8
353870,410690,8
352530,355010,8
330240,330630,8
431120,431690,8
412680,500720,8
431080,431340,8
350070,350600,8
314790,353630,8
330455,351880,8
352390,431010,8
311100,315180,8
431140,432130,8
352040,354990,8
411810,412000,8
431240,431340,8
420210,420910,8
330555,330630,8
150050,150140,8
412480,421930,8
210300,221100,8
311430,317020,8
311320,313670,8
431340,432120,8
314730,315960,8
230440,292740,8
350100,350590,8
314730,352340,8
350190,350950,8
351620,354940,8
431410,431720,8
120020,120040,8
330420,354870,8
313240,315250,7
412680,412790,7
420280,420460,7
420290,420820,7
420910,421010,7
420900,431180,7
354100,354870,7
351640,352590,7
120040,530010,7
310350,310620,7
172100,172120,7
291480,291640,7
354990,355540,7
354990,410690,7
353870,354780,7
291480,293290,7
352050,355220,7
355030,412550,7
353720,353760,7
290490,291080,7
354140,354150,7
410240,411370,7
351410,352530,7
354780,355220,7
420240,420480,7
420240,420850,7
250750,251210,7
410040,410690,7
350900,350950,7
354870,410480,7
292740,320530,7
311800,314590,7
410120,410690,7
420420,420435,7
260600,261160,7
420120,431490,7
410480,410540,7
354660,354980,7
291080,291400,7
351840,354680,7
291072,292770,7
313170,315720,7
421290,421730,7
351880,354780,7
410180,411820,7
291070,291080,7
411370,412850,7
290390,291170,7
261110,530010,7
352460,354850,7
280030,280670,7
312770,313960,7
120040,120050,7
280030,280400,7
410750,410940,7
353060,353980,7
352430,354340,7
310670,310900,7
410970,411370,7
261160,355030,7
110020,530010,7
270430,292740,7
352450,354140,7
351110,355690,7
312770,314430,7
351150,355220,7
260190,260410,7
270430,270800,7
310670,330420,7
352670,353070,7
351220,353070,7
310670,354870,7
411210,411520,7
411520,411750,7
411370,530010,7
312230,314590,7
420450,420910,7
352480,354980,7
420420,421670,7
410690,412060,7
260410,260890,7
310620,311910,7
353570,355535,7
350950,353710,7
310800,312230,7
313130,316870,7
352240,355220,7
410480,412140,7
350950,354520,7
353430,354340,7
353400,354980,7
353400,353500,7
311120,312230,7
420420,421210,7
420820,421320,7
420820,421250,7
351020,355220,7
290070,291080,7
410550,412810,7
420820,420840,7
353320,353640,7
310620,312980,7
260005,260960,7
280610,320530,7
353190,353430,7
353190,353360,7
410690,411200,7
353150,354980,7
350970,354990,7
420420,421360,7
421750,421950,7
110020,350320,7
150304,150616,7
330620,330630,7
313670,315110,7
150470,150795,7
520870,521740,7
330220,330455,7
350600,354000,7
350580,354140,7
314710,350950,7
313620,315720,7
314930,316720,7
230440,330455,7
430460,432150,7
350610,354980,7
230420,231290,7
500600,500660,7
430750,431410,7
431990,432120,7
320390,320530,7
431690,431800,7
210300,211220,7
150553,280610,7
230110,230440,7
431440,530010,7
240810,355030,7
320530,330200,7
350520,352930,7
520870,521020,7
230260,230440,7
330320,330630,7
500270,500470,7
313670,317020,7
430480,430510,7
500270,500620,7
350010,353640,7
430310,431870,7
500270,500380,7
330330,530010,7
350520,350600,7
330390,330580,7
431340,431480,7
500830,510704,7
330010,330240,7
510340,510704,7
431490,431760,7
315690,317020,7
240020,240800,7
330455,354870,7
350160,353870,7
313440,350210,7
330025,330455,7
431390,431410,7
330290,330630,7
350380,350950,7
230440,231270,7
315980,317020,7
150812,210030,7
330455,330475,7
520860,520870,7
510170,510340,7
320520,330455,7
430610,431410,7
330170,330630,7
350570,354870,7
330010,330455,7
110020,110028,7
350635,354850,7
240810,241120,7
350650,353730,7
110020,150795,7
240710,240810,7
240810,240830,7
431350,431490,7
316930,317070,7
350650,351650,7
311860,313760,6
352690,354390,6
420300,420420,6
310670,330455,6
260720,353650,6
311860,315670,6
314410,315180,6
431530,431690,6
351670,352900,6
310490,315180,6
172100,530010,6
520110,521800,6
411095,411580,6
311860,314610,6
351570,352310,6
312090,314740,6
320160,320530,6
420380,420890,6
351380,352730,6
410790,411520,6
150140,150210,6
260410,260990,6
500600,500790,6
260410,260880,6
355430,500600,6
420420,421050,6
354090,354340,6
260410,260510,6
355400,355450,6
420420,421420,6
314000,315720,6
150420,150553,6
520870,521310,6
260410,261390,6
260410,261450,6
315250,355030,6
314330,316110,6
351550,353475,6
311860,353870,6
430850,431410,6
350320,351910,6
520870,521120,6
351440,355510,6
351440,352600,6
110020,410690,6
430780,431340,6
431690,431960,6
420395,420460,6
260520,261160,6
431690,432220,6
211130,211400,6
410480,410630,6
320320,320490,6
353870,354670,6
330170,330200,6
410200,410480,6
310830,315180,6
431410,432090,6
431340,431950,6
261160,261420,6
354390,354670,6
352510,354340,6
520540,520870,6
410120,411820,6
291080,291460,6
411990,521880,6
352050,355240,6
431280,431490,6
352050,355030,6
291080,291750,6
431265,431410,6
431340,432260,6
230428,230523,6
330420,351340,6
352310,353060,6
230440,230540,6
410480,411520,6
230440,230760,6
411520,412240,6
310900,315780,6
354340,354760,6
411520,411960,6
520350,520870,6
352390,355670,6
352470,355240,6
510340,510525,6
320470,320530,6
330455,354990,6
352310,355250,6
411520,411710,6
130260,292740,6
352050,352590,6
310020,312230,6
431490,431560,6
354560,355690,6
260950,261160,6
352590,353870,6
354020,355170,6
351880,353060,6
330380,330630,6
352590,354980,6
510340,510792,6
510025,510340,6
351860,354340,6
310160,313900,6
314590,315780,6
310670,354990,6
315070,315770,6
130260,260290,6
352570,412730,6
291080,292860,6
352030,354850,6
150050,160053,6
351970,355220,6
351910,354110,6
410200,411790,6
351907,355620,6
311660,312230,6
230523,230765,6
351907,355030,6
411370,412000,6
410480,411330,6
270100,313420,6
411370,411820,6
431140,432260,6
431140,432040,6
352570,353280,6
354550,411810,6
330280,330630,6
291072,291360,6
410690,411320,6
330240,330330,6
353130,354980,6
410690,411770,6
130260,130340,6
350950,350960,6
315210,317130,6
260110,260410,6
500240,500370,6
520870,522060,6
320080,320530,6
350950,351080,6
240720,240800,6
313670,530010,6
291480,291760,6
420910,431490,6
520870,522160,6
500230,500720,6
353470,411180,6
353500,354030,6
313170,500320,6
310620,315250,6
330060,330455,6
354980,530010,6
350530,351030,6
290840,291080,6
350620,351820,6
330080,330455,6
350520,410240,6
260140,260410,6
312770,313090,6
310620,316110,6
313240,314730,6
353740,354980,6
350950,351380,6
430160,430660,6
430300,430460,6
330100,330220,6
291750,520640,6
350950,354070,6
420900,420930,6
310620,313620,6
420900,420985,6
350950,351880,6
350590,353630,6
410425,410690,6
420900,421850,6
317040,530010,6
210140,211130,6
240810,330455,6
310420,312230,6
290520,291480,6
350950,351518,6
410690,410765,6
350950,354780,6
313670,330390,6
291480,292510,6
350950,354880,6
354990,355480,6
240810,250750,6
320040,320500,6
420820,420830,6
430210,430860,6
260005,261070,6
410580,412080,6
350950,351630,6
430510,432250,6
420540,421870,6
430100,430680,6
310620,316250,6
510250,510490,6
312230,315140,6
420460,421120,6
350660,355030,6
520870,521860,6
210530,210900,6
260290,260960,6
421420,430700,6
410690,420890,6
130260,354390,6
312230,314560,6
150553,317120,6
520870,521710,6
410490,410690,6
431750,431890,6
292250,292740,6
150140,160060,6
250400,250600,6
313420,521150,6
353070,355030,6
421660,421800,6
350700,510760,6
240140,251120,6
312230,313350,6
430510,431820,6
312160,314330,6
430510,431900,6
310620,350950,6
420460,421170,6
500270,500630,6
150140,211130,6
430490,430510,6
330250,330455,6
410480,420420,6
351190,355630,6
280030,280710,6
353350,354980,6
350520,352200,6
330045,330170,6
430510,430680,6
120040,120060,6
420460,421880,6
250750,250970,6
313490,315180,6
410190,411370,5
310990,314740,5
330190,330455,5
431410,432190,5
500370,500450,5
310730,314740,5
230428,292740,5
330170,355030,5
280610,310620,5
500540,500660,5
353400,355340,5
150543,521460,5
431440,431730,5
352500,353440,5
317020,354070,5
315250,317070,5
330430,330490,5
314930,317120,5
411370,420910,5
353360,420840,5
352530,353670,5
150543,530010,5
431410,431890,5
171320,172100,5
500370,500570,5
315210,317050,5
411370,412660,5
500450,500720,5
320500,330240,5
150553,311860,5
313380,314710,5
500540,500600,5
410490,411070,5
310620,313130,5
310840,315180,5
500270,500710,5
410420,412550,5
410490,411990,5
353070,353870,5
410360,411370,5
330170,330414,5
330260,330455,5
352930,353290,5
330250,330490,5
