
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.021",="0.012",="-0.020",="0.013",="-0.021",="0.012",="-0.021",="0.012",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.144)",="(0.140)",="(0.144)",="(0.140)",="(0.144)",="(0.140)",="(0.144)",="(0.140)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.219",="-0.173",="-0.218",="-0.172",="-0.219",="-0.174",="-0.219",="-0.173",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.149)",="(0.139)",="(0.150)",="(0.139)",="(0.150)",="(0.140)",="(0.149)",="(0.139)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.369**",="-0.312**",="-0.369**",="-0.312**",="-0.370**",="-0.314**",="-0.369**",="-0.312**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.155)",="(0.142)",="(0.156)",="(0.142)",="(0.156)",="(0.143)",="(0.155)",="(0.142)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.451**",="-0.379**",="-0.451**",="-0.378**",="-0.451**",="-0.380**",="-0.451**",="-0.379**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
