
="2015.year#c.totaltreat_pf",="-0.048***",="0.028",="-0.010***",="0.005",="-0.068***",="0.036",="-0.010***",="0.003",="-0.012***",="0.005",="-0.050***",="0.002",="-0.008***",="0.005",="-0.071***",="0.005",="-0.010***",="0.004",="-0.012***",="0.005",="0.018",="0.018",="-0.009",="0.011",="-0.056",="0.021",="-0.032***",="-0.004",="-0.027***",="0.003"
="",="(0.015)",="(0.031)",="(0.003)",="(0.005)",="(0.015)",="(0.031)",="(0.003)",="(0.005)",="(0.003)",="(0.005)",="(0.013)",="(0.028)",="(0.002)",="(0.004)",="(0.013)",="(0.028)",="(0.002)",="(0.004)",="(0.002)",="(0.004)",="(0.041)",="(0.075)",="(0.007)",="(0.012)",="(0.041)",="(0.078)",="(0.007)",="(0.012)",="(0.007)",="(0.012)"

="2016.year#c.totaltreat_pf",="-0.028*",="0.053",="-0.011***",="0.013**",="-0.006",="0.056*",="-0.008***",="0.008",="-0.013***",="0.011**",="-0.028**",="0.005",="-0.009***",="0.010**",="-0.012",="0.003",="-0.008***",="0.006",="-0.012***",="0.008*",="0.020",="0.083",="-0.007",="0.011",="-0.106**",="0.092",="-0.047***",="-0.009",="-0.035***",="0.002"
="",="(0.016)",="(0.032)",="(0.003)",="(0.005)",="(0.016)",="(0.032)",="(0.003)",="(0.005)",="(0.003)",="(0.005)",="(0.014)",="(0.032)",="(0.003)",="(0.005)",="(0.014)",="(0.032)",="(0.003)",="(0.005)",="(0.003)",="(0.005)",="(0.048)",="(0.087)",="(0.008)",="(0.014)",="(0.049)",="(0.091)",="(0.008)",="(0.014)",="(0.008)",="(0.014)"

="N",="396531",="396531",="6264634",="6264634",="396572",="396572",="6264658",="6264658",="6264658",="6264658",="397082",="397082",="6280627",="6280627",="397123",="397123",="6280651",="6280651",="6280651",="6280651",="398208",="398208",="6305832",="6305832",="398248",="398248",="6305856",="6305856",="6305856",="6305856"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
