
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.161",="-0.130",="-0.160",="-0.128",="-0.161",="-0.129",="-0.161",="-0.129",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.154)",="(0.148)",="(0.154)",="(0.148)",="(0.154)",="(0.148)",="(0.154)",="(0.148)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.227",="-0.192",="-0.226",="-0.191",="-0.228",="-0.193",="-0.227",="-0.192",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.185)",="(0.174)",="(0.186)",="(0.176)",="(0.185)",="(0.175)",="(0.185)",="(0.174)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.439***",="-0.401**",="-0.438***",="-0.399**",="-0.440***",="-0.402**",="-0.439***",="-0.400**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.167)",="(0.157)",="(0.167)",="(0.157)",="(0.167)",="(0.157)",="(0.167)",="(0.157)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="-0.422**",="-0.371**",="-0.421**",="-0.369**",="-0.422**",="-0.371**",="-0.422**",="-0.371**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
