
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="2013.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.070",="-0.007",="-0.008",="0.003",="0.002",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.146)",="(0.211)",="(0.210)",="(0.211)",="(0.211)",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.059",="-0.242",="-0.246",="-0.223",="-0.223",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.176)",="(0.253)",="(0.252)",="(0.253)",="(0.253)",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.112",="-0.375",="-0.379",="-0.355",="-0.355",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.208)",="(0.294)",="(0.293)",="(0.293)",="(0.293)",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.075",="-0.274",="-0.279",="-0.247",="-0.248",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.246)",="(0.346)",="(0.346)",="(0.345)",="(0.345)",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.005",="-0.020",="-0.018",="-0.012",="-0.012"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.010)",="(0.013)",="(0.013)",="(0.013)",="(0.013)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.004",="0.009",="0.009",="0.008",="0.008"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.007)",="(0.010)",="(0.010)",="(0.010)",="(0.010)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.009",="-0.028***",="-0.028***",="-0.026**",="-0.026**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.008)",="(0.011)",="(0.011)",="(0.011)",="(0.011)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.005",="-0.013",="-0.014",="-0.011",="-0.011"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.011)",="(0.014)",="(0.014)",="(0.014)",="(0.014)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.007",="-0.024",="-0.025",="-0.016",="-0.016"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.013)",="(0.017)",="(0.017)",="(0.018)",="(0.017)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.002",="-0.024",="-0.024",="-0.013",="-0.013"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.015)",="(0.020)",="(0.020)",="(0.021)",="(0.021)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.010",="-0.037",="-0.038",="-0.026",="-0.026"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.017)",="(0.024)",="(0.024)",="(0.025)",="(0.025)"

="N",="29160",="25400",="25400",="25400",="25400",="30280",="26544",="26544",="26544",="26544",="21464",="17736",="17736",="17736",="17736",="131160",="126784",="126784",="120272",="120272"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
