spec;section;outcome;row_type;value
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_main_se";   0.0015"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_pre";   0.0008
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_pre_se";   0.0015"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_pre_ftest";   0.3576"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_n_obs";      29,460"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_female_n_firms";       3,831"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_main";   0.0022**
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_main_se";   0.0009"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_pre";  -0.0003
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_pre_se";   0.0005"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_pre_ftest";   0.6166"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_n_obs";      29,122"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_female_n_firms";       3,766"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_main";   0.0013
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_main_se";   0.0010"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_pre";  -0.0009
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_pre_se";   0.0010"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_pre_ftest";   0.5387"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_n_obs";      28,845"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_female";"c_male_n_firms";       3,815"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_main";   0.0048***
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_main_se";   0.0012"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_pre";  -0.0011
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_pre_se";   0.0012"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_pre_ftest";   0.6269"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_n_obs";      31,565"
"disentangle_gender";"layer_firm_year";"lr_remdezr_h_layer_male";"c_male_n_firms";       4,053"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_main";   0.0002
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_main_se";   0.0009"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_pre";   0.0004
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_pre_se";   0.0010"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_pre_ftest";   0.8378"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_n_obs";      28,599"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_female_n_firms";       3,757"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_main";   0.0011*
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_main_se";   0.0006"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_pre";   0.0001
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_pre_se";   0.0007"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_pre_ftest";   0.9384"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_n_obs";      28,323"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_female_n_firms";       3,689"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_main";   0.0002
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_main_se";   0.0010"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_pre";  -0.0017
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_pre_se";   0.0012"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_pre_ftest";   0.3128"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_n_obs";      28,018"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_female";"c_male_n_firms";       3,767"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_main";   0.0036***
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_main_se";   0.0012"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_pre";  -0.0006
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_pre_se";   0.0015"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_pre_ftest";   0.8685"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_n_obs";      30,737"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_h_layer_male";"c_male_n_firms";       3,962"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_main";   0.0045
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_main_se";   0.0060"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_pre";   0.0015
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_pre_se";   0.0046"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_pre_ftest";   0.5045"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_n_obs";      29,460"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_female_n_firms";       3,831"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_main";   0.0072*
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_main_se";   0.0038"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_pre";  -0.0015
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_pre_se";   0.0026"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_pre_ftest";   0.8793"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_n_obs";      29,122"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_female_n_firms";       3,766"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_main";   0.0059
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_main_se";   0.0062"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_pre";  -0.0011
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_pre_se";   0.0043"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_pre_ftest";   0.4184"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_n_obs";      28,845"
"disentangle_gender";"layer_firm_year";"l_layer_emp_female";"c_male_n_firms";       3,815"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_male_main";   0.0138**
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_male_main_se";   0.0062"
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_male_pre";  -0.0098
"disentangle_gender";"layer_firm_year";"l_layer_emp_male";"c_male_pre_se";   0.0068"
