spec;section;outcome;row_type;value
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_nonwhite_n_obs";      25,257"
"disentangle_race";"layer_cross_firm";"lr_remdezr_layer_nonwhite";"c_nonwhite_n_firms";       3,500"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_main";   0.0043**
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_main_se";   0.0018"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_pre";  -0.0010
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_pre_se";   0.0015"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_pre_ftest";   0.0361"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_n_obs";      31,203"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_white_n_firms";       4,035"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_main";   0.0056***
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_main_se";   0.0014"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_pre";   0.0015
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_pre_se";   0.0012"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_pre_ftest";   0.4507"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_n_obs";      25,817"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_white_n_firms";       3,619"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_main";   0.0020**
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_main_se";   0.0008"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_pre";  -0.0002
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_pre_se";   0.0004"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_pre_ftest";   0.3970"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_n_obs";      26,830"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_white";"c_nonwhite_n_firms";       3,486"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_main";   0.0023*
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_main_se";   0.0014"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_pre";  -0.0005
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_pre_se";   0.0013"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_pre_ftest";   0.9504"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_n_obs";      26,099"
"disentangle_race";"layer_firm_year";"lr_remdezr_h_layer_nonwhite";"c_nonwhite_n_firms";       3,552"
"disentangle_race";"layer_cross_firm";"lr_remdezr_h_layer_white";"c_white_main";   0.0022
