spec;section;outcome;row_type;value
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_main_se";   0.0010"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre";   0.0004
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre_se";   0.0013"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_pre_ftest";   0.8446"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_n_obs";      23,892"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_1_hs";"c_2_higher_n_firms";       3,062"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_main";  -0.0052*
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_main_se";   0.0027"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_pre";   0.0091*
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_pre_se";   0.0048"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_pre_ftest";   0.0908"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_n_obs";      22,057"
"disentangle_edu";"layer_firm_year";"lr_remdezr_layer_2_higher";"c_2_higher_n_firms";       3,020"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_main";  -0.0005
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_main_se";   0.0059"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre";  -0.0005
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre_se";   0.0062"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_pre_ftest";   0.9776"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_n_obs";      26,389"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_0_no_hs_n_firms";       3,605"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_main";  -0.0017
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_main_se";   0.0029"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre";   0.0033
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre_se";   0.0032"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_pre_ftest";   0.5872"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_n_obs";      27,463"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_0_no_hs_n_firms";       3,567"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_main";   0.0069
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_main_se";   0.0047"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre";   0.0100
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre_se";   0.0072"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_pre_ftest";   0.3370"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_n_obs";      19,543"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_0_no_hs_n_firms";       2,947"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_main";  -0.0013
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_main_se";   0.0034"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre";  -0.0030
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre_se";   0.0034"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_pre_ftest";   0.0134"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_n_obs";      26,188"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_0_no_hs";"c_1_hs_n_firms";       3,667"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_main";   0.0061**
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_main_se";   0.0026"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_pre";  -0.0003
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_pre_se";   0.0037"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_pre_ftest";   0.1375"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_n_obs";      30,693"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_1_hs";"c_1_hs_n_firms";       3,977"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_main";  -0.0026
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_main_se";   0.0070"
"disentangle_edu";"layer_cross_firm";"lr_remdezr_layer_2_higher";"c_1_hs_pre";   0.0116
