partition,pct_both,v_tot,v_wi,v_bw,wi_pct,bw_pct
edu2,0.858096828046745,0.00156371458235246,0.000430092106248607,0.0011336224761038,0.275045146411293,0.724954853588672
gender,0.880276651562127,0.00251809299566518,0.000852271875147303,0.00166582112051789,0.33845925333753,0.661540746662474
ten2,0.965180062008109,0.00240314957048176,0.00108756541860645,0.00131558415187542,0.452558355903094,0.547441644096952
