partition,group,avg_emp,avg_wage,avg_flows,conn
edu2,no_hs,60.2164578794481,9.89153347629492,0.205462618182033,0.00940660277540694
edu2,has_hs,104.281500364166,14.7743818052299,0.273225589050791,0.0147816231196857
gender,female,55.6514004871259,12.246676144844,0.244882681175103,0.0103439016068434
gender,male,107.875041131951,14.7011198917009,0.268693738569629,0.0149319701901968
ten2,lt12mo,48.8236601630033,11.7290813938783,0.520818969518458,0.025881994363169
ten2,ge12mo,110.089079774119,14.7161144574488,0.108313901871284,0.00672287783134395
