
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="0.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="4.714***",="3.892***",="4.659***",="3.883***",="5.255***",="3.953***",="4.524***",="3.817***",="4.752***",="3.892***",="4.721***",="3.883***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.437)",="(0.569)",="(0.434)",="(0.569)",="(0.539)",="(0.541)",="(0.509)",="(0.530)",="(0.479)",="(0.544)",="(0.476)",="(0.544)"

="0.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="0.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="1.234***",="",="1.312***",="",="0.447**",="",="1.059***",="",="1.338***",="",="1.392***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.270)",="",="(0.268)",="",="(0.193)",="",="(0.301)",="",="(0.194)",="",="(0.194)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.013",="",="0.013",="",="0.025",="",="-0.012",="",="0.013",="",="0.013"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.069)",="",="(0.068)",="",="(0.060)",="",="(0.066)",="",="(0.066)",="",="(0.065)"

="0.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="0.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.021",="",="0.028",="",="-0.036",="",="-0.140",="",="0.021",="",="0.028"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.130)",="",="(0.116)",="",="(0.091)",="",="(0.143)",="",="(0.125)",="",="(0.111)"

="N",="33544",="12469",="33544",="12469",="33544",="12579",="33544",="12053",="33544",="12469",="33544",="12469",="32168",="11959",="32168",="11959",="32168",="12063",="32168",="11537",="32168",="11959",="32168",="11959"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
